File name,Nodes count,AVG Git,AVG Golden,AVG Golden used,AVG nodes differences between golden/git,nodes differences between golden/git
gen0_1117.tdag,1113,10.1689,10.1689,98.0,0.0,0
gen100_307.tdag,307,8.3322,8.3322,42.0,0.0,0
gen10_1770.tdag,1767,10.8546,10.8546,227.0,0.0,0
gen1_1518.tdag,1510,10.647,10.647,274.0,0.0,0
gen11_913.tdag,910,9.8989,9.8989,115.0,0.0,0
gen12_1381.tdag,1376,10.5124,10.5124,222.0,0.0,0
gen13_952.tdag,949,9.9452,9.9452,102.0,0.0,0
gen14_1669.tdag,1665,10.7772,10.7772,251.0,0.0,0
gen15_1164.tdag,1160,10.2388,10.2388,114.0,0.0,0
gen16_490.tdag,489,8.9816,8.9816,51.0,0.0,0
gen17_350.tdag,346,8.5202,8.5202,59.0,0.0,0
gen18_374.tdag,372,8.6263,8.6263,75.0,0.0,0
gen19_1196.tdag,1194,10.2873,10.2873,128.0,0.0,0
gen20_132.tdag,129,7.0775,7.0775,19.0,0.0,0
gen21_1371.tdag,1366,10.5007,10.5007,214.0,0.0,0
gen2_1198.tdag,1191,10.283,10.283,130.0,0.0,0
gen22_965.tdag,962,9.9595,9.9595,94.0,0.0,0
gen23_1328.tdag,1321,10.4497,10.4497,190.0,0.0,0
gen24_1232.tdag,1229,10.3369,10.3369,155.0,0.0,0
gen25_726.tdag,720,9.5792,9.5792,132.0,0.0,0
gen26_612.tdag,609,9.3235,9.3235,79.0,0.0,0
gen27_756.tdag,751,9.6391,9.6391,133.0,0.0,0
gen28_1409.tdag,1408,10.5476,10.5476,232.0,0.0,0
gen29_1037.tdag,1034,10.0484,10.0484,79.0,0.0,0
gen30_1555.tdag,1550,10.6852,10.6852,275.0,0.0,0
gen31_1733.tdag,1728,10.8241,10.8241,230.0,0.0,0
gen32_689.tdag,686,9.5073,9.5073,114.0,0.0,0
gen33_1531.tdag,1527,10.664,10.664,277.0,0.0,0
gen3_409.tdag,406,8.7562,8.7562,74.0,0.0,0
gen34_590.tdag,585,9.2581,9.2581,64.0,0.0,0
gen35_996.tdag,995,10.004,10.004,86.0,0.0,0
gen36_748.tdag,745,9.6268,9.6268,139.0,0.0,0
gen37_683.tdag,680,9.4971,9.4971,117.0,0.0,0
gen38_532.tdag,526,9.0932,9.0932,62.0,0.0,0
gen39_301.tdag,299,8.2876,8.2876,37.0,0.0,0
gen40_471.tdag,468,8.9252,8.9252,56.0,0.0,0
gen41_708.tdag,705,9.5475,9.5475,121.0,0.0,0
gen4_179.tdag,175,7.5429,7.5429,32.0,0.0,0
gen42_410.tdag,405,8.7432,8.7432,73.0,0.0,0
gen43_528.tdag,524,9.0763,9.0763,46.0,0.0,0
gen44_1666.tdag,1662,10.7774,10.7774,262.0,0.0,0
gen45_1607.tdag,1606,10.7304,10.7304,272.0,0.0,0
gen46_1774.tdag,1771,10.8588,10.8588,224.0,0.0,0
gen47_748.tdag,742,9.624,9.624,137.0,0.0,0
gen48_243.tdag,238,7.9622,7.9622,33.0,0.0,0
gen49_517.tdag,515,9.0544,9.0544,51.0,0.0,0
gen50_386.tdag,383,8.671,8.671,76.0,0.0,0
gen51_541.tdag,537,9.1173,9.1173,54.0,0.0,0
gen52_907.tdag,903,9.8882,9.8882,122.0,0.0,0
gen53_1431.tdag,1425,10.5628,10.5628,239.0,0.0,0
gen54_1714.tdag,1713,10.8144,10.8144,232.0,0.0,0
