File name,Nodes count, ,Leaves count,% leaves, .1,1 child,2 childrens,3 childrens,4 childrens,5 childrens,6 childrens,7 childrens,8 childrens,9 childrens,10 childrens,11 childrens,12 childrens,13 childrens,14 childrens,15 childrens,16 childrens,17 childrens,18 childrens,19 childrens,20 childrens,21 childrens,22 childrens,23 childrens,24 childrens,25 childrens,26 childrens,27 childrens,28 childrens,29 childrens,30 childrens,More than 30, .2,P(X=2)/P(X=1),P(X=3)/P(X=2),P(X=4)/P(X=3),P(X=5)/P(X=4),P(X=6)/P(X=5),P(X=7)/P(X=6),P(X=8)/P(X=7),P(X=9)/P(X=8),P(X=10)/P(X=9),P(X=11)/P(X=10),P(X=12)/P(X=11),P(X=13)/P(X=12),P(X=14)/P(X=13),P(X=15)/P(X=14),P(X=16)/P(X=15),P(X=17)/P(X=16),P(X=18)/P(X=17),P(X=19)/P(X=18),P(X=20)/P(X=19),P(X=21)/P(X=20),P(X=22)/P(X=21),P(X=23)/P(X=22),P(X=24)/P(X=23),P(X=25)/P(X=24),P(X=26)/P(X=25),P(X=27)/P(X=26),P(X=28)/P(X=27),P(X=29)/P(X=28),P(X=30)/P(X=29), .3,% 1 child,% 2 childrens,% 3 childrens,% 4 childrens,% 5 childrens,% 6 childrens,% 7 childrens,% 8 childrens,% 9 childrens,% 10 childrens,% 11 childrens,% 12 childrens,% 13 childrens,% 14 childrens,% 15 childrens,% 16 childrens,% 17 childrens,% 18 childrens,% 19 childrens,% 20 childrens,% 21 childrens,% 22 childrens,% 23 childrens,% 24 childrens,% 25 childrens,% 26 childrens,% 27 childrens,% 28 childrens,% 29 childrens,% 30 childrens,% More than 30
gen0_1117.tdag,1113,,1,0.0898,,846,131,67,42,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.1548,0.5115,0.6269,0.4524,0.3684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,76.0108,11.77,6.0198,3.7736,1.7071,0.6289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen100_307.tdag,307,,1,0.3257,,232,38,20,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.1638,0.5263,0.5,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,75.57,12.3779,6.5147,3.2573,1.6287,0.3257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen10_1770.tdag,1767,,1,0.0566,,1330,224,118,55,22,8,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.1684,0.5268,0.4661,0.4,0.3636,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,75.2688,12.6769,6.678,3.1126,1.245,0.4527,0.2264,0.1132,0.0566,0.0566,0.0566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen1_1518.tdag,1510,,1,0.0662,,1142,190,87,55,16,9,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.1664,0.4579,0.6322,0.2909,0.5625,0.5556,0.8,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,75.6291,12.5828,5.7616,3.6424,1.0596,0.596,0.3311,0.2649,0.0662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen11_913.tdag,910,,1,0.1099,,689,106,64,31,14,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.1538,0.6038,0.4844,0.4516,0.1429,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,75.7143,11.6484,7.033,3.4066,1.5385,0.2198,0.2198,0.1099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen12_1381.tdag,1376,,1,0.0727,,1041,165,88,48,19,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.1585,0.5333,0.5455,0.3958,0.5789,0.1818,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,75.6541,11.9913,6.3953,3.4884,1.3808,0.7994,0.1453,0.0727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen13_952.tdag,949,,1,0.1054,,722,117,58,29,10,6,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.162,0.4957,0.5,0.3448,0.6,0.6667,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,76.0801,12.3288,6.1117,3.0558,1.0537,0.6322,0.4215,0.1054,0.1054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen14_1669.tdag,1665,,1,0.0601,,1247,228,100,43,29,7,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.1828,0.4386,0.43,0.6744,0.2414,0.8571,0.5,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,74.8949,13.6937,6.006,2.5826,1.7417,0.4204,0.3604,0.1802,0.0601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen15_1164.tdag,1160,,1,0.0862,,872,152,77,26,13,14,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.1743,0.5066,0.3377,0.5,1.0769,0.2143,0.3333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,75.1724,13.1034,6.6379,2.2414,1.1207,1.2069,0.2586,0.0862,0.0862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen16_490.tdag,489,,1,0.2045,,371,61,34,12,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.1644,0.5574,0.3529,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,75.8691,12.4744,6.953,2.454,1.227,0.6135,0.0,0.2045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
