File name,Nodes count, ,1 parent,2 parents,3 parents,More than 3,Unnamed: 8,% 1 parent,% 2 parents,% 3 parents,% More than 3
gen0_1117.tdag,1113,,610,502,0,0,,54.8068,45.1033,0.0,0.0
gen100_307.tdag,307,,173,133,0,0,,56.3518,43.3225,0.0,0.0
gen10_1770.tdag,1767,,948,818,0,0,,53.6503,46.2932,0.0,0.0
gen1_1518.tdag,1510,,805,704,0,0,,53.3113,46.6225,0.0,0.0
gen11_913.tdag,910,,497,412,0,0,,54.6154,45.2747,0.0,0.0
gen12_1381.tdag,1376,,740,635,0,0,,53.7791,46.1483,0.0,0.0
gen13_952.tdag,949,,519,429,0,0,,54.6891,45.2055,0.0,0.0
gen14_1669.tdag,1665,,891,773,0,0,,53.5135,46.4264,0.0,0.0
gen15_1164.tdag,1160,,620,539,0,0,,53.4483,46.4655,0.0,0.0
gen16_490.tdag,489,,277,211,0,0,,56.6462,43.1493,0.0,0.0
gen17_350.tdag,346,,195,150,0,0,,56.3584,43.3526,0.0,0.0
gen18_374.tdag,372,,213,158,0,0,,57.2581,42.4731,0.0,0.0
gen19_1196.tdag,1194,,642,551,0,0,,53.7688,46.1474,0.0,0.0
gen20_132.tdag,129,,75,53,0,0,,58.1395,41.0853,0.0,0.0
gen21_1371.tdag,1366,,737,628,0,0,,53.9531,45.9736,0.0,0.0
gen2_1198.tdag,1191,,640,550,0,0,,53.7364,46.1797,0.0,0.0
gen22_965.tdag,962,,523,438,0,0,,54.3659,45.5301,0.0,0.0
gen23_1328.tdag,1321,,708,612,0,0,,53.5958,46.3285,0.0,0.0
gen24_1232.tdag,1229,,666,562,0,0,,54.1904,45.7282,0.0,0.0
gen25_726.tdag,720,,394,325,0,0,,54.7222,45.1389,0.0,0.0
gen26_612.tdag,609,,331,277,0,0,,54.3514,45.4844,0.0,0.0
gen27_756.tdag,751,,410,340,0,0,,54.5939,45.273,0.0,0.0
gen28_1409.tdag,1408,,751,656,0,0,,53.3381,46.5909,0.0,0.0
gen29_1037.tdag,1034,,562,471,0,0,,54.352,45.5513,0.0,0.0
gen30_1555.tdag,1550,,831,718,0,0,,53.6129,46.3226,0.0,0.0
gen31_1733.tdag,1728,,920,807,0,0,,53.2407,46.7014,0.0,0.0
gen32_689.tdag,686,,377,308,0,0,,54.9563,44.898,0.0,0.0
gen33_1531.tdag,1527,,819,707,0,0,,53.6346,46.2999,0.0,0.0
gen3_409.tdag,406,,226,179,0,0,,55.665,44.0887,0.0,0.0
gen34_590.tdag,585,,324,260,0,0,,55.3846,44.4444,0.0,0.0
gen35_996.tdag,995,,539,455,0,0,,54.1709,45.7286,0.0,0.0
gen36_748.tdag,745,,413,331,0,0,,55.4362,44.4295,0.0,0.0
gen37_683.tdag,680,,382,297,0,0,,56.1765,43.6765,0.0,0.0
gen38_532.tdag,526,,300,225,0,0,,57.0342,42.7757,0.0,0.0
gen39_301.tdag,299,,173,125,0,0,,57.8595,41.806,0.0,0.0
gen40_471.tdag,468,,263,204,0,0,,56.1966,43.5897,0.0,0.0
gen41_708.tdag,705,,382,322,0,0,,54.1844,45.6738,0.0,0.0
gen4_179.tdag,175,,103,71,0,0,,58.8571,40.5714,0.0,0.0
gen42_410.tdag,405,,229,175,0,0,,56.5432,43.2099,0.0,0.0
gen43_528.tdag,524,,293,230,0,0,,55.916,43.8931,0.0,0.0
gen44_1666.tdag,1662,,889,772,0,0,,53.4898,46.4501,0.0,0.0
gen45_1607.tdag,1606,,858,747,0,0,,53.4247,46.5131,0.0,0.0
gen46_1774.tdag,1771,,951,819,0,0,,53.6985,46.2451,0.0,0.0
gen47_748.tdag,742,,408,333,0,0,,54.9865,44.8787,0.0,0.0
gen48_243.tdag,238,,141,96,0,0,,59.2437,40.3361,0.0,0.0
gen49_517.tdag,515,,285,229,0,0,,55.3398,44.466,0.0,0.0
gen50_386.tdag,383,,217,165,0,0,,56.658,43.0809,0.0,0.0
gen51_541.tdag,537,,299,237,0,0,,55.6797,44.1341,0.0,0.0
gen52_907.tdag,903,,497,405,0,0,,55.0388,44.8505,0.0,0.0
gen53_1431.tdag,1425,,760,664,0,0,,53.3333,46.5965,0.0,0.0
gen54_1714.tdag,1713,,914,798,0,0,,53.3567,46.5849,0.0,0.0
gen55_588.tdag,585,,326,258,0,0,,55.7265,44.1026,0.0,0.0
gen56_1048.tdag,1045,,573,471,0,0,,54.8325,45.0718,0.0,0.0
gen5_677.tdag,673,,365,307,0,0,,54.2348,45.6166,0.0,0.0
gen57_1999.tdag,1993,,1062,930,0,0,,53.2865,46.6633,0.0,0.0
gen58_518.tdag,514,,281,232,0,0,,54.6693,45.1362,0.0,0.0
gen59_1608.tdag,1601,,857,743,0,0,,53.529,46.4085,0.0,0.0
gen60_861.tdag,858,,473,384,0,0,,55.1282,44.7552,0.0,0.0
gen6_1450.tdag,1445,,779,665,0,0,,53.91,46.0208,0.0,0.0
gen61_945.tdag,941,,514,426,0,0,,54.6227,45.271,0.0,0.0
gen62_806.tdag,799,,444,354,0,0,,55.5695,44.3054,0.0,0.0
gen63_779.tdag,777,,434,342,0,0,,55.8559,44.0154,0.0,0.0
gen64_1439.tdag,1437,,775,661,0,0,,53.9318,45.9986,0.0,0.0
gen65_500.tdag,492,,271,220,0,0,,55.0813,44.7154,0.0,0.0
gen66_980.tdag,978,,533,444,0,0,,54.499,45.3988,0.0,0.0
gen67_662.tdag,658,,365,292,0,0,,55.4711,44.3769,0.0,0.0
gen68_1145.tdag,1141,,613,527,0,0,,53.7248,46.1876,0.0,0.0
gen69_718.tdag,716,,395,320,0,0,,55.1676,44.6927,0.0,0.0
gen70_883.tdag,882,,483,398,0,0,,54.7619,45.1247,0.0,0.0
gen71_1556.tdag,1548,,835,712,0,0,,53.9406,45.9948,0.0,0.0
gen72_1496.tdag,1491,,795,695,0,0,,53.3199,46.613,0.0,0.0
gen73_865.tdag,862,,467,394,0,0,,54.1763,45.7077,0.0,0.0
gen74_1114.tdag,1111,,593,517,0,0,,53.3753,46.5347,0.0,0.0
gen75_1406.tdag,1402,,757,644,0,0,,53.9943,45.9344,0.0,0.0
gen76_845.tdag,843,,455,387,0,0,,53.9739,45.9075,0.0,0.0
gen77_1983.tdag,1978,,1053,924,0,0,,53.2356,46.7139,0.0,0.0
gen78_308.tdag,301,,172,128,0,0,,57.1429,42.5249,0.0,0.0
gen79_259.tdag,255,,146,108,0,0,,57.2549,42.3529,0.0,0.0
gen7_979.tdag,977,,533,443,0,0,,54.5548,45.3429,0.0,0.0
gen80_1730.tdag,1726,,915,810,0,0,,53.0127,46.9293,0.0,0.0
gen81_1297.tdag,1293,,693,599,0,0,,53.5963,46.3264,0.0,0.0
gen82_520.tdag,518,,285,232,0,0,,55.0193,44.7876,0.0,0.0
gen83_1260.tdag,1260,,679,580,0,0,,53.8889,46.0317,0.0,0.0
gen84_790.tdag,786,,432,353,0,0,,54.9618,44.9109,0.0,0.0
gen85_271.tdag,271,,154,116,0,0,,56.8266,42.8044,0.0,0.0
gen86_551.tdag,547,,306,240,0,0,,55.9415,43.8757,0.0,0.0
gen8_706.tdag,703,,385,317,0,0,,54.7653,45.0925,0.0,0.0
gen87_1848.tdag,1839,,990,848,0,0,,53.8336,46.112,0.0,0.0
gen88_750.tdag,746,,407,338,0,0,,54.5576,45.3083,0.0,0.0
gen89_1169.tdag,1166,,622,543,0,0,,53.3448,46.5695,0.0,0.0
gen90_1285.tdag,1280,,689,590,0,0,,53.8281,46.0938,0.0,0.0
gen91_1613.tdag,1607,,864,742,0,0,,53.7648,46.173,0.0,0.0
gen92_1453.tdag,1449,,779,669,0,0,,53.7612,46.1698,0.0,0.0
