Type,File name,Nodes count, ,Leaves count,% leaves, ,1 child,2 childrens,3 childrens,4 childrens,5 childrens,6 childrens,7 childrens,8 childrens,9 childrens,10 childrens,11 childrens,12 childrens,13 childrens,14 childrens,15 childrens,16 childrens,17 childrens,18 childrens,19 childrens,20 childrens,21 childrens,22 childrens,23 childrens,24 childrens,25 childrens,26 childrens,27 childrens,28 childrens,29 childrens,30 childrens,More than 30, ,P(X=2)/P(X=1),P(X=3)/P(X=2),P(X=4)/P(X=3),P(X=5)/P(X=4),P(X=6)/P(X=5),P(X=7)/P(X=6),P(X=8)/P(X=7),P(X=9)/P(X=8),P(X=10)/P(X=9),P(X=11)/P(X=10),P(X=12)/P(X=11),P(X=13)/P(X=12),P(X=14)/P(X=13),P(X=15)/P(X=14),P(X=16)/P(X=15),P(X=17)/P(X=16),P(X=18)/P(X=17),P(X=19)/P(X=18),P(X=20)/P(X=19),P(X=21)/P(X=20),P(X=22)/P(X=21),P(X=23)/P(X=22),P(X=24)/P(X=23),P(X=25)/P(X=24),P(X=26)/P(X=25),P(X=27)/P(X=26),P(X=28)/P(X=27),P(X=29)/P(X=28),P(X=30)/P(X=29), ,% 1 child,% 2 childrens,% 3 childrens,% 4 childrens,% 5 childrens,% 6 childrens,% 7 childrens,% 8 childrens,% 9 childrens,% 10 childrens,% 11 childrens,% 12 childrens,% 13 childrens,% 14 childrens,% 15 childrens,% 16 childrens,% 17 childrens,% 18 childrens,% 19 childrens,% 20 childrens,% 21 childrens,% 22 childrens,% 23 childrens,% 24 childrens,% 25 childrens,% 26 childrens,% 27 childrens,% 28 childrens,% 29 childrens,% 30 childrens,% More than 30
small,git.age.tdag,3673,,1269,34.5494,,1554,558,172,57,30,9,4,5,4,3,2,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,0.3591,0.3082,0.3314,0.5263,0.3000,0.4444,1.2500,0.8000,0.7500,0.6667,0.5000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,42.3087,15.1919,4.6828,1.5519,0.8168,0.2450,0.1089,0.1361,0.1089,0.0817,0.0545,0.0272,0.0272,0.0272,0.0000,0.0272,0.0000,0.0272,0.0000,0.0000,0.0000,0.0272,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
small,git.answer.tdag,7241,,379,5.2341,,5305,1242,205,50,23,17,5,6,6,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.2341,0.1651,0.2439,0.4600,0.7391,0.2941,1.2000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,73.2634,17.1523,2.8311,0.6905,0.3176,0.2348,0.0691,0.0829,0.0829,0.0000,0.0000,0.0000,0.0138,0.0000,0.0000,0.0000,0.0276,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
small,git.flink-cdc.tdag,6615,,1825,27.5888,,3944,387,180,102,64,41,22,17,10,7,5,3,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,0.0981,0.4651,0.5667,0.6275,0.6406,0.5366,0.7727,0.5882,0.7000,0.7143,0.6000,0.3333,2.0000,0.5000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,59.6221,5.8503,2.7211,1.5420,0.9675,0.6198,0.3326,0.2570,0.1512,0.1058,0.0756,0.0454,0.0151,0.0302,0.0151,0.0151,0.0151,0.0151,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0151
small,git.fury.tdag,5834,,1285,22.0261,,3499,719,217,72,29,8,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.2055,0.3018,0.3318,0.4028,0.2759,0.2500,1.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,59.9760,12.3243,3.7196,1.2341,0.4971,0.1371,0.0343,0.0343,0.0171,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
small,git.guacamole-server.tdag,4648,,115,2.4742,,3962,297,159,72,25,9,3,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0750,0.5354,0.4528,0.3472,0.3600,0.3333,0.6667,1.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,85.2410,6.3898,3.4208,1.5491,0.5379,0.1936,0.0645,0.0430,0.0430,0.0215,0.0000,0.0000,0.0215,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
small,git.horaedb.tdag,6216,,1144,18.4041,,4308,393,197,101,47,14,8,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0912,0.5013,0.5127,0.4653,0.2979,0.5714,0.1250,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,69.3050,6.3224,3.1692,1.6248,0.7561,0.2252,0.1287,0.0161,0.0161,0.0161,0.0000,0.0161,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
small,git.incubator-hivemall.tdag,4172,,247,5.9204,,3480,331,65,24,12,7,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0.0951,0.1964,0.3692,0.5000,0.5833,0.1429,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,83.4132,7.9338,1.5580,0.5753,0.2876,0.1678,0.0240,0.0240,0.0000,0.0240,0.0000,0.0000,0.0240,0.0000,0.0240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
small,git.incubator-livy.tdag,2155,,452,20.9745,,1474,91,49,33,19,14,6,7,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,,0.0617,0.5385,0.6735,0.5758,0.7368,0.4286,1.1667,0.1429,3.0000,0.3333,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,68.3991,4.2227,2.2738,1.5313,0.8817,0.6497,0.2784,0.3248,0.0464,0.1392,0.0464,0.0464,0.0464,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0464,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0928
small,git.incubator-pagespeed-ngx.tdag,7399,,467,6.3117,,6158,478,181,70,23,11,6,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0776,0.3787,0.3867,0.3286,0.4783,0.5455,0.3333,0.5000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,83.2275,6.4603,2.4463,0.9461,0.3109,0.1487,0.0811,0.0270,0.0135,0.0135,0.0135,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
small,git.incubator-teaclave.tdag,2005,,496,24.7382,,1130,288,54,26,6,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.2549,0.1875,0.4815,0.2308,0.3333,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,56.3591,14.3641,2.6933,1.2968,0.2993,0.0998,0.0998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0499,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
