Type,File name,Nodes count, ,1 parent,2 parents,3 parents,More than 3,,% 1 parent,% 2 parents,% 3 parents,% More than 3
small,git.age.tdag,3673,,3471,199,0,0,,94.5004,5.4179,0.0000,0.0000
small,git.answer.tdag,7241,,5475,1765,0,0,,75.6111,24.3751,0.0000,0.0000
small,git.flink-cdc.tdag,6615,,6315,299,0,0,,95.4649,4.5200,0.0000,0.0000
small,git.fury.tdag,5834,,5558,275,0,0,,95.2691,4.7137,0.0000,0.0000
small,git.guacamole-server.tdag,4648,,3706,936,0,0,,79.7332,20.1377,0.0000,0.0000
small,git.horaedb.tdag,6216,,5925,289,0,0,,95.3185,4.6493,0.0000,0.0000
small,git.incubator-hivemall.tdag,4172,,3733,438,0,0,,89.4775,10.4986,0.0000,0.0000
small,git.incubator-livy.tdag,2155,,1889,265,0,0,,87.6566,12.2970,0.0000,0.0000
small,git.incubator-pagespeed-ngx.tdag,7399,,6588,809,0,0,,89.0391,10.9339,0.0000,0.0000
small,git.incubator-teaclave.tdag,2005,,1962,42,0,0,,97.8554,2.0948,0.0000,0.0000
small,git.incubator-toree.tdag,1627,,1436,189,0,0,,88.2606,11.6165,0.0000,0.0000
small,git.incubator-wayang.tdag,3120,,2585,533,0,0,,82.8526,17.0833,0.0000,0.0000
small,git.sdap-ingester.tdag,688,,623,64,0,0,,90.5523,9.3023,0.0000,0.0000
small,git.sedona.tdag,8139,,7609,528,0,0,,93.4881,6.4873,0.0000,0.0000
small,git.WSL.tdag,840,,739,100,0,0,,87.9762,11.9048,0.0000,0.0000
medium,git.apisix.tdag,30774,,29231,1539,0,0,,94.9860,5.0010,0.0000,0.0000
medium,git.cassandra.tdag,51376,,37304,14069,1,0,,72.6098,27.3844,0.0019,0.0000
medium,git.celeborn.tdag,13454,,13027,425,0,0,,96.8262,3.1589,0.0000,0.0000
medium,git.couchdb.tdag,25671,,23465,2173,0,0,,91.4066,8.4648,0.0000,0.0000
medium,git.django.tdag,93186,,84614,8570,0,0,,90.8012,9.1967,0.0000,0.0000
medium,git.docker-ce.tdag,59437,,34576,24851,0,0,,58.1725,41.8107,0.0000,0.0000
medium,git.dolphinscheduler.tdag,46926,,38493,8428,0,1,,82.0292,17.9602,0.0000,0.0021
medium,git.druid.tdag,70919,,61658,9258,0,0,,86.9414,13.0543,0.0000,0.0000
medium,git.eclipse.platform.swt.tdag,35813,,35715,97,0,0,,99.7264,0.2709,0.0000,0.0000
medium,git.eclipse.platform.tdag,49585,,49389,187,0,0,,99.6047,0.3771,0.0000,0.0000
medium,git.eclipse.platform.ui.tdag,93275,,93003,258,0,0,,99.7084,0.2766,0.0000,0.0000
medium,git.eventmesh.tdag,18378,,14019,4356,0,0,,76.2814,23.7023,0.0000,0.0000
