Type,File name,Nodes count,Max width,Avg width
small,git.age.tdag,764,2,1.0985
small,git.answer.tdag,5296,15,7.0459
small,git.flink-cdc.tdag,1340,1,1.0000
small,git.fury.tdag,1205,3,1.0100
small,git.guacamole-server.tdag,3250,11,3.0981
small,git.horaedb.tdag,1068,3,1.1257
small,git.incubator-hivemall.tdag,2037,5,1.9740
small,git.incubator-livy.tdag,525,2,1.0172
small,git.incubator-pagespeed-ngx.tdag,1137,6,2.1801
small,git.incubator-teaclave.tdag,763,2,1.0023
small,git.incubator-toree.tdag,1183,5,1.4075
small,git.incubator-wayang.tdag,2487,10,3.8943
small,git.sdap-ingester.tdag,230,3,1.4449
small,git.sedona.tdag,2040,6,1.2504
small,git.WSL.tdag,402,4,1.2960
medium,git.apisix.tdag,4471,2,1.0020
medium,git.cassandra.tdag,31130,9,4.2117
medium,git.celeborn.tdag,2340,2,1.0026
medium,git.couchdb.tdag,8474,7,1.7380
medium,git.django.tdag,33591,15,1.6361
medium,git.docker-ce.tdag,2543,4,1.4503
medium,git.dolphinscheduler.tdag,8661,14,4.6508
medium,git.druid.tdag,15017,18,3.6765
medium,git.eclipse.platform.swt.tdag,31093,5,1.0287
medium,git.eclipse.platform.tdag,9643,2,1.0256
medium,git.eclipse.platform.ui.tdag,30398,3,1.0362
medium,git.eventmesh.tdag,4838,35,9.6384
medium,git.gimp.tdag,54785,4,1.0640
medium,git.hbase.tdag,20578,4,1.1444
medium,git.hive.tdag,17687,7,1.9467
medium,git.incubator-devlake.tdag,5540,8,1.4544
medium,git.incubator-pagespeed-mod.tdag,5033,4,1.0485
medium,git.incubator-pegasus.tdag,1361,2,1.0137
medium,git.incubator-seata.tdag,1739,10,2.0207
medium,git.incubator-superset.tdag,11942,7,1.1298
medium,git.inkscape.tdag,89,4,1.3146
medium,git.kvrocks.tdag,1910,3,1.0521
medium,git.laravel.tdag,7114,48,5.9735
medium,git.linkis.tdag,4228,16,4.8401
medium,git.lucene.tdag,35136,7,2.9858
medium,git.mesos.tdag,18448,2,1.0016
medium,git.moby.tdag,49546,59,20.1530
medium,git.nifi.tdag,10766,11,1.7015
medium,git.Nim.tdag,22533,29,5.6704
medium,git.opencv.tdag,35279,59,17.8455
medium,git.opendal.tdag,3533,1,1.0000
medium,git.openwhisk.tdag,3101,2,1.0045
medium,git.openwrt-packages.tdag,33959,76,19.0829
medium,git.paimon.tdag,4299,1,1.0000
medium,git.postgres.tdag,61461,3,1.0006
medium,git.PowerShell.tdag,10711,18,2.6022
medium,git.PowerToys.tdag,5942,14,2.6981
medium,git.pulsar.tdag,13477,2,1.0018
medium,git.react.tdag,17520,26,4.8940
medium,git.rocketmq.tdag,3004,40,8.9404
medium,git.seatunnel.tdag,4937,6,1.5521
medium,git.shenyu.tdag,3591,5,1.2128
medium,git.skywalking.tdag,8268,10,2.0121
medium,git.spring-boot.tdag,54755,8,3.7301
medium,git.spring-framework.tdag,32421,9,1.6343
medium,git.storm.tdag,10491,41,14.1808
medium,git.streampark.tdag,1998,4,1.1982
medium,git.terminal.tdag,4468,9,2.2271
medium,git.terraform.tdag,34295,53,14.0990
medium,git.tvm.tdag,13032,3,1.1166
medium,git.TypeScript.tdag,36496,43,16.4289
medium,git.vuejs-core.tdag,6657,3,1.2740
medium,git.vuejs-vue.tdag,3593,3,1.0814
medium,git.zookeeper.tdag,2626,2,1.0011
large,git.airflow.tdag,30743,17,1.5236
large,git.angular.tdag,32425,2,1.0001
large,git.ansible.tdag,54432,97,13.1688
large,git.arrow.tdag,17624,3,1.2820
large,git.aspnetcore.tdag,17475,12,3.5317
large,git.beam.tdag,42105,41,15.0536
large,git.bitcoin.tdag,44548,96,45.0869
large,git.camel.tdag,75484,13,1.2723
large,git.cpython.tdag,127351,20,4.0011
large,git.doris.tdag,25772,8,1.0154
large,git.electron.tdag,27606,23,4.7501
large,git.fdroiddata.tdag,121797,62,6.8647
large,git.flink.tdag,33329,6,1.0216
large,git.flutter.tdag,43411,11,1.1841
large,git.git.tdag,74662,182,80.1762
large,git.godot.tdag,74805,263,74.6914
large,git.go.tdag,63272,10,1.8921
large,git.hadoop.tdag,27830,5,1.5983
large,git.homebrew-cask.tdag,312112,82,9.2206
large,git.homebrew-core.tdag,633350,647,14.4323
large,git.ignite.tdag,29390,37,11.0029
large,git.jdk.tdag,83736,3278,974.0058
large,git.kafka.tdag,15847,5,1.0919
large,git.kotlin.tdag,114461,7,1.4400
large,git.kubernetes.tdag,130236,292,108.9519
large,git.llvm-project.tdag,532312,7,1.0986
large,git.node.tdag,44341,5,1.2328
large,git.pandas.tdag,36170,16,2.3900
large,git.pytorch.tdag,82646,3,1.0006
large,git.rails.tdag,92128,81,27.0010
large,git.react-native.tdag,36347,18,1.7468
large,git.roslyn.tdag,118852,107,53.7856
large,git.ruby.tdag,92058,4,1.0122
large,git.runtime.tdag,35928,12,1.6557
large,git.rust.tdag,216971,160,65.1823
large,git.scikit-learn.tdag,32387,29,5.8925
large,git.shardingsphere.tdag,42125,12,3.3173
large,git.spark.tdag,44533,27,2.6322
large,git.swift.tdag,184206,85,32.9808
large,git.symfony.tdag,74327,63,25.9661
large,git.tensorflow.tdag,177349,166,65.5969
large,git.vscode.tdag,133979,87,25.5364
